Index,Sub,EDSname,Datatype,Access,Value,varname,LowLimit,UpLimit,hasDefault,hasLimit,refuseRead,refuseWrite,defaultInEDS,implementation,Size,ObjectCode,mapable
0x1000,0x00,Device Type,UNSIGNED32,ro,0,NONE,0,4294967295,yes,no,no,no,1,ManagedConst,0,,no
0x1001,0x00,Error Register,UNSIGNED8,ro,0,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,,tpdo
0x1005,0x00,COB ID SYNC,UNSIGNED32,rw,128,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,no
0x1006,0x00,Communication Cycle Period,UNSIGNED32,rw,100000,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,no
0x1008,0x00,Manufacturer device name,VISIBLE_STRING,const,simple emotas CANopen slave for evaluation,NONE,0,0,yes,no,no,no,1,ManagedConst,42,,no
0x1014,0x00,COB ID EMCY,UNSIGNED32,rw,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,no
0x1015,0x00,Inhibit Time Emergency,UNSIGNED16,rw,0,NONE,0,65535,yes,no,no,no,1,ManagedVariable,0,,no
0x1016,0x00,Consumer Heartbeat Time Highest sub-index supported,UNSIGNED8,const,3,NONE,1,127,yes,no,no,no,1,ManagedConst,0,ARRAY,no
0x1016,0x01,Consumer Heartbeat Time Consumer Heartbeat Time 1,UNSIGNED32,rw,65536,NONE,0,8388607,yes,no,no,no,1,ManagedVariable,0,,no
0x1016,0x02,Consumer Heartbeat Time Consumer Heartbeat Time 2,UNSIGNED32,rw,131072,NONE,0,8388607,yes,no,no,no,1,ManagedVariable,0,,no
0x1016,0x03,Consumer Heartbeat Time Consumer Heartbeat Time 3,UNSIGNED32,rw,196608,NONE,0,8388607,yes,no,no,no,1,ManagedVariable,0,,no
0x1017,0x00,Producer Heartbeat Time,UNSIGNED16,rw,1000,NONE,0,65535,yes,no,no,no,1,ManagedVariable,0,,no
0x1018,0x00,Identity Object Number of entries,UNSIGNED8,ro,4,NONE,1,4,yes,no,no,no,1,ManagedConst,0,RECORD,no
0x1018,0x01,Identity Object Vendor Id,UNSIGNED32,ro,793,NONE,0,4294967295,yes,no,no,no,1,ManagedConst,0,,no
0x1018,0x02,Identity Object Product Code,UNSIGNED32,ro,2069,NONE,0,4294967295,yes,no,no,no,1,ManagedConst,0,,no
0x1018,0x03,Identity Object Revision number,UNSIGNED32,ro,65537,NONE,0,4294967295,yes,no,no,no,1,ManagedConst,0,,no
0x1018,0x04,Identity Object Serial number,UNSIGNED32,ro,1,NONE,0,4294967295,no,no,no,no,0,ManagedVariable,0,,no
0x1028,0x00,Emergency Consumer Highest sub-index supported,UNSIGNED8,const,3,NONE,1,127,yes,no,no,no,1,ManagedConst,0,ARRAY,no
0x1028,0x01,Emergency Consumer EMCY Consumer 1,UNSIGNED32,rw,129,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,no
0x1028,0x02,Emergency Consumer EMCY Consumer 2,UNSIGNED32,rw,130,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,no
